Initial weights:
  mobility: 140.00
  psqt: 10.00
  frontier: 40.00
  parity: 90.00
  corners: 800.00
  corner_closeness: 40.00
Starting TD(λ) training for 5000 episodes...
Parameters: α=0.0001, λ=0.7, ε=0.15, search=2@30ms
Episode 0/5000  elapsed 0.0s
Episode 10/5000  elapsed 6.6s
Episode 20/5000  elapsed 15.2s
Episode 30/5000  elapsed 23.6s
Episode 40/5000  elapsed 30.3s
Episode 50/5000  elapsed 37.9s
Episode 60/5000  elapsed 46.4s
Episode 70/5000  elapsed 54.6s
Episode 80/5000  elapsed 62.3s
Episode 90/5000  elapsed 68.4s
Episode 100/5000  elapsed 76.7s
Episode 110/5000  elapsed 84.8s
Episode 120/5000  elapsed 91.8s
Episode 130/5000  elapsed 99.3s
Episode 140/5000  elapsed 106.5s
Episode 150/5000  elapsed 115.4s
Episode 160/5000  elapsed 123.1s
Episode 170/5000  elapsed 132.2s
Episode 180/5000  elapsed 140.2s
Episode 190/5000  elapsed 147.6s
Episode 200/5000  elapsed 155.8s
Episode 210/5000  elapsed 162.8s
Episode 220/5000  elapsed 169.9s
Episode 230/5000  elapsed 179.1s
Episode 240/5000  elapsed 186.6s
Episode 250/5000  elapsed 193.5s
Episode 260/5000  elapsed 201.2s
Episode 270/5000  elapsed 208.5s
Episode 280/5000  elapsed 217.4s
Episode 290/5000  elapsed 225.9s
Episode 300/5000  elapsed 231.9s
Episode 310/5000  elapsed 239.1s
Episode 320/5000  elapsed 247.2s
Episode 330/5000  elapsed 254.7s
Episode 340/5000  elapsed 261.9s
Episode 350/5000  elapsed 269.8s
Episode 360/5000  elapsed 277.8s
Episode 370/5000  elapsed 285.7s
Episode 380/5000  elapsed 292.3s
Episode 390/5000  elapsed 299.4s
Episode 400/5000  elapsed 306.2s
Episode 410/5000  elapsed 312.5s
Episode 420/5000  elapsed 319.5s
Episode 430/5000  elapsed 326.6s
Episode 440/5000  elapsed 335.7s
Episode 450/5000  elapsed 346.1s
Episode 460/5000  elapsed 355.4s
Episode 470/5000  elapsed 362.3s
Episode 480/5000  elapsed 370.8s
Episode 490/5000  elapsed 377.3s
Episode 500/5000  elapsed 385.2s
Episode 510/5000  elapsed 393.0s
Episode 520/5000  elapsed 400.9s
Episode 530/5000  elapsed 407.0s
Episode 540/5000  elapsed 415.1s
Episode 550/5000  elapsed 422.8s
Episode 560/5000  elapsed 431.7s
Episode 570/5000  elapsed 438.7s
Episode 580/5000  elapsed 447.2s
Episode 590/5000  elapsed 455.2s
Episode 600/5000  elapsed 464.5s
Episode 610/5000  elapsed 473.1s
Episode 620/5000  elapsed 481.5s
Episode 630/5000  elapsed 489.8s
Episode 640/5000  elapsed 500.5s
Episode 650/5000  elapsed 508.8s
Episode 660/5000  elapsed 517.3s
Episode 670/5000  elapsed 526.0s
Episode 680/5000  elapsed 533.4s
Episode 690/5000  elapsed 542.5s
Episode 700/5000  elapsed 549.7s
Episode 710/5000  elapsed 557.5s
Episode 720/5000  elapsed 565.3s
Episode 730/5000  elapsed 572.0s
Episode 740/5000  elapsed 579.6s
Episode 750/5000  elapsed 586.4s
Episode 760/5000  elapsed 594.9s
Episode 770/5000  elapsed 600.9s
Episode 780/5000  elapsed 608.4s
Episode 790/5000  elapsed 614.9s
Episode 800/5000  elapsed 620.2s
Episode 810/5000  elapsed 625.7s
Episode 820/5000  elapsed 631.2s
Episode 830/5000  elapsed 639.4s
Episode 840/5000  elapsed 648.7s
